,state,feature,importance_score,ranking
586,ar,pct_worked_outside_home_weighted,0.0345127172768116,4
568,ar,pct_self_runny_nose_weighted,0.03018794395029545,5
592,ar,pct_self_diarrhea_weighted,0.02679971605539322,6
591,ar,pct_high_blood_pressure_weighted,0.015740394592285156,7
588,ar,pct_hh_cough_weighted,0.014769371598958969,8
577,ar,pct_self_multiple_symptoms_weighted,0.01418094802647829,9
578,ar,pct_cancer_weighted,0.01367934700101614,10
576,ar,pct_self_nasal_congestion_weighted,0.013586497865617275,11
590,ar,pct_self_shortness_of_breath_weighted,0.013536430895328522,12
585,ar,pct_self_other_weighted,0.011901840567588806,13
571,ar,pct_self_none_of_above_weighted,0.011006015352904797,14
593,ar,pct_self_difficulty_breathing_weighted,0.010529332794249058,15
584,ar,pct_hh_difficulty_breathing_weighted,0.008543428033590317,16
579,ar,pct_self_nausea_vomiting_weighted,0.008303114213049412,17
589,ar,pct_self_cough_weighted,0.008023212663829327,18
567,ar,pct_autoimmune_disorder_weighted,0.0076256305910646915,19
587,ar,pct_hh_shortness_of_breath_weighted,0.007585701998323202,20
569,ar,pct_self_sore_throat_weighted,0.007370272651314735,21
594,ar,pct_kidney_disease_weighted,0.007291827350854874,22
562,ar,pct_hh_fever_weighted,0.006309702061116695,23
566,ar,pct_asthma_weighted,0.006273274775594473,24
574,ar,pct_chronic_lung_disease_weighted,0.006258166860789061,25
581,ar,pct_heart_disease_weighted,0.005909893196076155,26
582,ar,pct_self_tiredness_or_exhaustion_weighted,0.005797555670142174,27
565,ar,pct_self_fever_weighted,0.005486999172717333,28
580,ar,pct_multiple_medical_conditions_weighted,0.005413598380982876,29
575,ar,pct_no_above_medical_conditions_weighted,0.005104484967887402,30
573,ar,pct_self_persistent_pain_pressure_in_chest_weighted,0.005040894728153944,31
583,ar,pct_diabetes_weighted,0.004976122640073299,32
561,ar,pct_self_anosmia_ageusia_weighted,0.004193034488707781,33
563,ar,pct_hh_cli_weighted,0.003863226156681776,34
572,ar,pct_self_muscle_joint_aches_weighted,0.0023430436849594116,35
420,az,pct_cmnty_cli_weighted,0.4568784832954407,1
423,az,pct_hh_cli_weighted,0.1177462786436081,2
430,az,pct_avoid_contact_all_or_most_time_weighted,0.07305639982223511,3
433,az,pct_self_persistent_pain_pressure_in_chest_weighted,0.03261531516909599,4
424,az,pct_hh_sore_throat_weighted,0.025606215000152588,5
428,az,pct_self_runny_nose_weighted,0.02536221407353878,6
439,az,pct_self_nausea_vomiting_weighted,0.02122168242931366,7
432,az,pct_self_muscle_joint_aches_weighted,0.020893337205052376,8
452,az,pct_self_diarrhea_weighted,0.018247926607728004,9
448,az,pct_hh_cough_weighted,0.015728967264294624,10
434,az,pct_chronic_lung_disease_weighted,0.015146084129810333,11
422,az,pct_hh_fever_weighted,0.013678345829248428,12
436,az,pct_self_nasal_congestion_weighted,0.013081562705338001,13
443,az,pct_diabetes_weighted,0.012071705423295498,14
427,az,pct_autoimmune_disorder_weighted,0.010068012401461601,15
421,az,pct_self_anosmia_ageusia_weighted,0.009974956512451172,16
449,az,pct_self_cough_weighted,0.00984698161482811,17
440,az,pct_multiple_medical_conditions_weighted,0.00969048123806715,18
453,az,pct_self_difficulty_breathing_weighted,0.009317813441157341,19
425,az,pct_self_fever_weighted,0.009059920907020569,20
426,az,pct_asthma_weighted,0.00871984288096428,21
454,az,pct_kidney_disease_weighted,0.008592566475272179,22
446,az,pct_worked_outside_home_weighted,0.00782999861985445,23
451,az,pct_high_blood_pressure_weighted,0.0070416973903775215,24
441,az,pct_heart_disease_weighted,0.0063025145791471004,25
447,az,pct_hh_shortness_of_breath_weighted,0.0061584413051605225,26
444,az,pct_hh_difficulty_breathing_weighted,0.005970382131636143,27
438,az,pct_cancer_weighted,0.005392198916524649,28
435,az,pct_no_above_medical_conditions_weighted,0.0042864917777478695,29
442,az,pct_self_tiredness_or_exhaustion_weighted,0.004143549595028162,30
445,az,pct_self_other_weighted,0.004095481242984533,31
429,az,pct_self_sore_throat_weighted,0.0038578445091843605,32
437,az,pct_self_multiple_symptoms_weighted,0.00328235886991024,33
431,az,pct_self_none_of_above_weighted,0.0025921682827174664,34
450,az,pct_self_shortness_of_breath_weighted,0.002441772725433111,35
280,ca,pct_cmnty_cli_weighted,0.5816436409950256,1
290,ca,pct_avoid_contact_all_or_most_time_weighted,0.136090487241745,2
282,ca,pct_hh_fever_weighted,0.07567501813173294,3
284,ca,pct_hh_sore_throat_weighted,0.04356468468904495,4
308,ca,pct_hh_cough_weighted,0.03139123320579529,5
306,ca,pct_worked_outside_home_weighted,0.026424987241625786,6
288,ca,pct_self_runny_nose_weighted,0.016890762373805046,7
296,ca,pct_self_nasal_congestion_weighted,0.01488407701253891,8
309,ca,pct_self_cough_weighted,0.00809292308986187,9
305,ca,pct_self_other_weighted,0.005639061331748962,10
285,ca,pct_self_fever_weighted,0.005068842321634293,11
301,ca,pct_heart_disease_weighted,0.00397674972191453,12
294,ca,pct_chronic_lung_disease_weighted,0.0034005383495241404,13
292,ca,pct_self_muscle_joint_aches_weighted,0.0033642433118075132,14
281,ca,pct_self_anosmia_ageusia_weighted,0.0033052396029233932,15
311,ca,pct_high_blood_pressure_weighted,0.0029849018901586533,16
283,ca,pct_hh_cli_weighted,0.0029164256993681192,17
312,ca,pct_self_diarrhea_weighted,0.002752553205937147,18
300,ca,pct_multiple_medical_conditions_weighted,0.0027449384797364473,19
286,ca,pct_asthma_weighted,0.0026926822029054165,20
302,ca,pct_self_tiredness_or_exhaustion_weighted,0.002664577215909958,21
307,ca,pct_hh_shortness_of_breath_weighted,0.002644626423716545,22
299,ca,pct_self_nausea_vomiting_weighted,0.002536231419071555,23
295,ca,pct_no_above_medical_conditions_weighted,0.0024169587995857,24
289,ca,pct_self_sore_throat_weighted,0.0020139100961387157,25
310,ca,pct_self_shortness_of_breath_weighted,0.001959003508090973,26
303,ca,pct_diabetes_weighted,0.001939508249051869,27
314,ca,pct_kidney_disease_weighted,0.0017054356867447495,28
287,ca,pct_autoimmune_disorder_weighted,0.0014791361754760146,29
291,ca,pct_self_none_of_above_weighted,0.0014610750367864966,30
313,ca,pct_self_difficulty_breathing_weighted,0.0014336825115606189,31
293,ca,pct_self_persistent_pain_pressure_in_chest_weighted,0.0013202906120568514,32
297,ca,pct_self_multiple_symptoms_weighted,0.0013151891762390733,33
304,ca,pct_hh_difficulty_breathing_weighted,0.0008712628041394055,34
298,ca,pct_cancer_weighted,0.0007350750383920968,35
140,co,pct_cmnty_cli_weighted,0.2908078730106354,1
148,co,pct_self_runny_nose_weighted,0.045836515724658966,2
172,co,pct_self_diarrhea_weighted,0.04222201183438301,3
165,co,pct_self_other_weighted,0.03942694142460823,4
150,co,pct_avoid_contact_all_or_most_time_weighted,0.03565002232789993,5
142,co,pct_hh_fever_weighted,0.03507763519883156,6
141,co,pct_self_anosmia_ageusia_weighted,0.03380106762051582,7
151,co,pct_self_none_of_above_weighted,0.03239826112985611,8
144,co,pct_hh_sore_throat_weighted,0.03204602748155594,9
146,co,pct_asthma_weighted,0.030698630958795547,10
156,co,pct_self_nasal_congestion_weighted,0.027298731729388237,11
145,co,pct_self_fever_weighted,0.026798680424690247,12
170,co,pct_self_shortness_of_breath_weighted,0.025998175144195557,13
173,co,pct_self_difficulty_breathing_weighted,0.024777604267001152,14
149,co,pct_self_sore_throat_weighted,0.021551407873630524,15
168,co,pct_hh_cough_weighted,0.01954055391252041,16
162,co,pct_self_tiredness_or_exhaustion_weighted,0.019244523718953133,17
166,co,pct_worked_outside_home_weighted,0.017753219231963158,18
143,co,pct_hh_cli_weighted,0.016585567966103554,19
161,co,pct_heart_disease_weighted,0.015238598920404911,20
158,co,pct_cancer_weighted,0.01464019250124693,21
169,co,pct_self_cough_weighted,0.014598120003938675,22
153,co,pct_self_persistent_pain_pressure_in_chest_weighted,0.014263295568525791,23
167,co,pct_hh_shortness_of_breath_weighted,0.01370918471366167,24
157,co,pct_self_multiple_symptoms_weighted,0.013500125147402287,25
163,co,pct_diabetes_weighted,0.01272529736161232,26
159,co,pct_self_nausea_vomiting_weighted,0.012269409373402596,27
174,co,pct_kidney_disease_weighted,0.012076729908585548,28
152,co,pct_self_muscle_joint_aches_weighted,0.01147465966641903,29
160,co,pct_multiple_medical_conditions_weighted,0.011141658760607243,30
154,co,pct_chronic_lung_disease_weighted,0.009639229625463486,31
147,co,pct_autoimmune_disorder_weighted,0.008209304884076118,32
155,co,pct_no_above_medical_conditions_weighted,0.006999138277024031,33
171,co,pct_high_blood_pressure_weighted,0.006507502403110266,34
164,co,pct_hh_difficulty_breathing_weighted,0.005494169890880585,35
1725,dc,pct_avoid_contact_all_or_most_time_weighted,0.15426889061927795,1
1719,dc,pct_hh_sore_throat_weighted,0.12173052132129669,2
1718,dc,pct_hh_cli_weighted,0.07390400767326355,3
1728,dc,pct_self_persistent_pain_pressure_in_chest_weighted,0.0646626427769661,4
1741,dc,pct_worked_outside_home_weighted,0.057813506573438644,5
1735,dc,pct_multiple_medical_conditions_weighted,0.049994174391031265,6
1726,dc,pct_self_none_of_above_weighted,0.04280678927898407,7
1731,dc,pct_self_nasal_congestion_weighted,0.029406191781163216,8
1737,dc,pct_self_tiredness_or_exhaustion_weighted,0.027615588158369064,9
1727,dc,pct_self_muscle_joint_aches_weighted,0.026795951649546623,10
1743,dc,pct_hh_cough_weighted,0.026301292702555656,11
1723,dc,pct_self_runny_nose_weighted,0.02469249628484249,12
1733,dc,pct_cancer_weighted,0.024050965905189514,13
1715,dc,pct_cmnty_cli_weighted,0.021779203787446022,14
1748,dc,pct_self_difficulty_breathing_weighted,0.020307930186390877,15
1720,dc,pct_self_fever_weighted,0.019702386111021042,16
1745,dc,pct_self_shortness_of_breath_weighted,0.017530890181660652,17
1732,dc,pct_self_multiple_symptoms_weighted,0.017381589859724045,18
1721,dc,pct_asthma_weighted,0.015789834782481194,19
1729,dc,pct_chronic_lung_disease_weighted,0.015751423314213753,20
1736,dc,pct_heart_disease_weighted,0.015109030529856682,21
1716,dc,pct_self_anosmia_ageusia_weighted,0.015104296617209911,22
1749,dc,pct_kidney_disease_weighted,0.013371866196393967,23
1744,dc,pct_self_cough_weighted,0.01334461010992527,24
1734,dc,pct_self_nausea_vomiting_weighted,0.013120572082698345,25
1738,dc,pct_diabetes_weighted,0.011709422804415226,26
1724,dc,pct_self_sore_throat_weighted,0.011236369609832764,27
1746,dc,pct_high_blood_pressure_weighted,0.010834594257175922,28
1717,dc,pct_hh_fever_weighted,0.010592509992420673,29
1739,dc,pct_hh_difficulty_breathing_weighted,0.008253175765275955,30
1742,dc,pct_hh_shortness_of_breath_weighted,0.006768247578293085,31
1747,dc,pct_self_diarrhea_weighted,0.0057401349768042564,32
1730,dc,pct_no_above_medical_conditions_weighted,0.0051676384173333645,33
1722,dc,pct_autoimmune_disorder_weighted,0.0048553249798715115,34
1740,dc,pct_self_other_weighted,0.002505957381799817,35
848,de,pct_self_runny_nose_weighted,0.16792672872543335,1
868,de,pct_hh_cough_weighted,0.11196349561214447,2
869,de,pct_self_cough_weighted,0.049197759479284286,3
861,de,pct_heart_disease_weighted,0.044850606471300125,4
841,de,pct_self_anosmia_ageusia_weighted,0.04103003442287445,5
864,de,pct_hh_difficulty_breathing_weighted,0.03885815292596817,6
873,de,pct_self_difficulty_breathing_weighted,0.03639086335897446,7
850,de,pct_avoid_contact_all_or_most_time_weighted,0.03243748098611832,8
865,de,pct_self_other_weighted,0.027783526107668877,9
857,de,pct_self_multiple_symptoms_weighted,0.02500809170305729,10
853,de,pct_self_persistent_pain_pressure_in_chest_weighted,0.024367302656173706,11
871,de,pct_high_blood_pressure_weighted,0.023394284769892693,12
866,de,pct_worked_outside_home_weighted,0.023287300020456314,13
872,de,pct_self_diarrhea_weighted,0.022228147834539413,14
870,de,pct_self_shortness_of_breath_weighted,0.021476823836565018,15
847,de,pct_autoimmune_disorder_weighted,0.021263152360916138,16
860,de,pct_multiple_medical_conditions_weighted,0.020608950406312943,17
852,de,pct_self_muscle_joint_aches_weighted,0.01993733085691929,18
874,de,pct_kidney_disease_weighted,0.019582966342568398,19
845,de,pct_self_fever_weighted,0.0193577092140913,20
843,de,pct_hh_cli_weighted,0.019242307171225548,21
859,de,pct_self_nausea_vomiting_weighted,0.019170690327882767,22
840,de,pct_cmnty_cli_weighted,0.019013749435544014,23
849,de,pct_self_sore_throat_weighted,0.018054280430078506,24
867,de,pct_hh_shortness_of_breath_weighted,0.01748596504330635,25
858,de,pct_cancer_weighted,0.01667005382478237,26
842,de,pct_hh_fever_weighted,0.014475051313638687,27
854,de,pct_chronic_lung_disease_weighted,0.012510186992585659,28
851,de,pct_self_none_of_above_weighted,0.012258491478860378,29
844,de,pct_hh_sore_throat_weighted,0.011734765954315662,30
855,de,pct_no_above_medical_conditions_weighted,0.011150909587740898,31
846,de,pct_asthma_weighted,0.010693559423089027,32
863,de,pct_diabetes_weighted,0.010518476366996765,33
856,de,pct_self_nasal_congestion_weighted,0.009948068298399448,34
862,de,pct_self_tiredness_or_exhaustion_weighted,0.006122746970504522,35
1470,fl,pct_cmnty_cli_weighted,0.6715080142021179,1
1471,fl,pct_self_anosmia_ageusia_weighted,0.10492487996816635,2
1480,fl,pct_avoid_contact_all_or_most_time_weighted,0.04015662148594856,3
1496,fl,pct_worked_outside_home_weighted,0.021374279633164406,4
1483,fl,pct_self_persistent_pain_pressure_in_chest_weighted,0.01486458070576191,5
1473,fl,pct_hh_cli_weighted,0.011888226494193077,6
1484,fl,pct_chronic_lung_disease_weighted,0.011110796593129635,7
1478,fl,pct_self_runny_nose_weighted,0.01089898869395256,8
1487,fl,pct_self_multiple_symptoms_weighted,0.0102288369089365,9
1498,fl,pct_hh_cough_weighted,0.009963623248040676,10
1479,fl,pct_self_sore_throat_weighted,0.009742377325892448,11
1485,fl,pct_no_above_medical_conditions_weighted,0.008822830393910408,12
1472,fl,pct_hh_fever_weighted,0.007238362450152636,13
1489,fl,pct_self_nausea_vomiting_weighted,0.006968414410948753,14
1492,fl,pct_self_tiredness_or_exhaustion_weighted,0.006215719971805811,15
1502,fl,pct_self_diarrhea_weighted,0.006049390882253647,16
1494,fl,pct_hh_difficulty_breathing_weighted,0.0056421575136482716,17
1475,fl,pct_self_fever_weighted,0.00501308823004365,18
1499,fl,pct_self_cough_weighted,0.0043845390900969505,19
1481,fl,pct_self_none_of_above_weighted,0.0035194652155041695,20
1490,fl,pct_multiple_medical_conditions_weighted,0.0031350303906947374,21
1503,fl,pct_self_difficulty_breathing_weighted,0.0029970735777169466,22
1495,fl,pct_self_other_weighted,0.0028249728493392467,23
1491,fl,pct_heart_disease_weighted,0.002229955978691578,24
1486,fl,pct_self_nasal_congestion_weighted,0.0021598218008875847,25
1500,fl,pct_self_shortness_of_breath_weighted,0.002008414827287197,26
1476,fl,pct_asthma_weighted,0.0019612545147538185,27
1474,fl,pct_hh_sore_throat_weighted,0.0019477809546515346,28
1497,fl,pct_hh_shortness_of_breath_weighted,0.001932597253471613,29
1477,fl,pct_autoimmune_disorder_weighted,0.0017028100555762649,30
1488,fl,pct_cancer_weighted,0.0016919429181143641,31
1482,fl,pct_self_muscle_joint_aches_weighted,0.0016789842629805207,32
1501,fl,pct_high_blood_pressure_weighted,0.0012325169518589973,33
1493,fl,pct_diabetes_weighted,0.0010346436174586415,34
1504,fl,pct_kidney_disease_weighted,0.0009470354998484254,35
1330,ga,pct_cmnty_cli_weighted,0.5041576027870178,1
1333,ga,pct_hh_cli_weighted,0.10254247486591339,2
1331,ga,pct_self_anosmia_ageusia_weighted,0.07123471796512604,3
1354,ga,pct_hh_difficulty_breathing_weighted,0.036884136497974396,4
1358,ga,pct_hh_cough_weighted,0.03009519912302494,5
1359,ga,pct_self_cough_weighted,0.027182484045624733,6
1332,ga,pct_hh_fever_weighted,0.017725713551044464,7
1357,ga,pct_hh_shortness_of_breath_weighted,0.01613100990653038,8
1352,ga,pct_self_tiredness_or_exhaustion_weighted,0.015229706652462482,9
1350,ga,pct_multiple_medical_conditions_weighted,0.013377250172197819,10
1356,ga,pct_worked_outside_home_weighted,0.01336336974054575,11
1338,ga,pct_self_runny_nose_weighted,0.012063136324286461,12
1339,ga,pct_self_sore_throat_weighted,0.01175555307418108,13
1340,ga,pct_avoid_contact_all_or_most_time_weighted,0.011311163194477558,14
1335,ga,pct_self_fever_weighted,0.00995564553886652,15
1353,ga,pct_diabetes_weighted,0.008821506053209305,16
1342,ga,pct_self_muscle_joint_aches_weighted,0.008446745574474335,17
1341,ga,pct_self_none_of_above_weighted,0.007943646050989628,18
1355,ga,pct_self_other_weighted,0.006661054212599993,19
1361,ga,pct_high_blood_pressure_weighted,0.00639862846583128,20
1364,ga,pct_kidney_disease_weighted,0.006323215551674366,21
1360,ga,pct_self_shortness_of_breath_weighted,0.006137100979685783,22
1346,ga,pct_self_nasal_congestion_weighted,0.006093875039368868,23
1345,ga,pct_no_above_medical_conditions_weighted,0.0060470858588814735,24
1348,ga,pct_cancer_weighted,0.005930397193878889,25
1343,ga,pct_self_persistent_pain_pressure_in_chest_weighted,0.005620293784886599,26
1363,ga,pct_self_difficulty_breathing_weighted,0.005187489558011293,27
1336,ga,pct_asthma_weighted,0.005111680366098881,28
1351,ga,pct_heart_disease_weighted,0.004446375649422407,29
1362,ga,pct_self_diarrhea_weighted,0.004363814368844032,30
1344,ga,pct_chronic_lung_disease_weighted,0.003283271100372076,31
1337,ga,pct_autoimmune_disorder_weighted,0.0029110426548868418,32
1349,ga,pct_self_nausea_vomiting_weighted,0.0028048036620020866,33
1347,ga,pct_self_multiple_symptoms_weighted,0.002232176484540105,34
1334,ga,pct_hh_sore_throat_weighted,0.00222672987729311,35
1190,hi,pct_cmnty_cli_weighted,0.11319242417812347,1
1216,hi,pct_worked_outside_home_weighted,0.09657146781682968,2
1202,hi,pct_self_muscle_joint_aches_weighted,0.07065659761428833,3
1200,hi,pct_avoid_contact_all_or_most_time_weighted,0.05698174238204956,4
1201,hi,pct_self_none_of_above_weighted,0.052274543792009354,5
1224,hi,pct_kidney_disease_weighted,0.05167969688773155,6
1210,hi,pct_multiple_medical_conditions_weighted,0.04588165506720543,7
1211,hi,pct_heart_disease_weighted,0.04399356618523598,8
1218,hi,pct_hh_cough_weighted,0.03917078301310539,9
1222,hi,pct_self_diarrhea_weighted,0.038307372480630875,10
1214,hi,pct_hh_difficulty_breathing_weighted,0.036019012331962585,11
1191,hi,pct_self_anosmia_ageusia_weighted,0.03424641117453575,12
1205,hi,pct_no_above_medical_conditions_weighted,0.033117976039648056,13
1223,hi,pct_self_difficulty_breathing_weighted,0.030870690941810608,14
1199,hi,pct_self_sore_throat_weighted,0.028479108586907387,15
1206,hi,pct_self_nasal_congestion_weighted,0.0272871982306242,16
1196,hi,pct_asthma_weighted,0.021994009613990784,17
1209,hi,pct_self_nausea_vomiting_weighted,0.019775668159127235,18
1213,hi,pct_diabetes_weighted,0.01899089850485325,19
1197,hi,pct_autoimmune_disorder_weighted,0.017870208248496056,20
1203,hi,pct_self_persistent_pain_pressure_in_chest_weighted,0.013796537183225155,21
1208,hi,pct_cancer_weighted,0.013534662313759327,22
1192,hi,pct_hh_fever_weighted,0.013095483183860779,23
1193,hi,pct_hh_cli_weighted,0.012458602897822857,24
1195,hi,pct_self_fever_weighted,0.010287225246429443,25
1217,hi,pct_hh_shortness_of_breath_weighted,0.00936864409595728,26
1194,hi,pct_hh_sore_throat_weighted,0.008402364328503609,27
1221,hi,pct_high_blood_pressure_weighted,0.008207869715988636,28
1198,hi,pct_self_runny_nose_weighted,0.0076857865788042545,29
1204,hi,pct_chronic_lung_disease_weighted,0.00718671316280961,30
1207,hi,pct_self_multiple_symptoms_weighted,0.004755466245114803,31
1212,hi,pct_self_tiredness_or_exhaustion_weighted,0.004302282352000475,32
1219,hi,pct_self_cough_weighted,0.004250688478350639,33
1220,hi,pct_self_shortness_of_breath_weighted,0.002710668370127678,34
1215,hi,pct_self_other_weighted,0.002595948986709118,35
1015,ia,pct_cmnty_cli_weighted,0.1297357976436615,1
1024,ia,pct_self_sore_throat_weighted,0.05897648259997368,2
1042,ia,pct_hh_shortness_of_breath_weighted,0.05438782274723053,3
1016,ia,pct_self_anosmia_ageusia_weighted,0.04956125468015671,4
1046,ia,pct_high_blood_pressure_weighted,0.048995018005371094,5
1035,ia,pct_multiple_medical_conditions_weighted,0.04869323968887329,6
1025,ia,pct_avoid_contact_all_or_most_time_weighted,0.04407769814133644,7
1033,ia,pct_cancer_weighted,0.03882300853729248,8
1047,ia,pct_self_diarrhea_weighted,0.03846563398838043,9
1019,ia,pct_hh_sore_throat_weighted,0.036327704787254333,10
1041,ia,pct_worked_outside_home_weighted,0.03331451490521431,11
1027,ia,pct_self_muscle_joint_aches_weighted,0.03285101801156998,12
1037,ia,pct_self_tiredness_or_exhaustion_weighted,0.03188123181462288,13
1043,ia,pct_hh_cough_weighted,0.030144089832901955,14
1017,ia,pct_hh_fever_weighted,0.02251947671175003,15
1049,ia,pct_kidney_disease_weighted,0.01981653831899166,16
1038,ia,pct_diabetes_weighted,0.01981184631586075,17
1030,ia,pct_no_above_medical_conditions_weighted,0.01968105509877205,18
1048,ia,pct_self_difficulty_breathing_weighted,0.019268536940217018,19
1020,ia,pct_self_fever_weighted,0.018183525651693344,20
1036,ia,pct_heart_disease_weighted,0.017336387187242508,21
1018,ia,pct_hh_cli_weighted,0.01631191000342369,22
1023,ia,pct_self_runny_nose_weighted,0.01630345731973648,23
1026,ia,pct_self_none_of_above_weighted,0.015264824964106083,24
1021,ia,pct_asthma_weighted,0.014723905362188816,25
1045,ia,pct_self_shortness_of_breath_weighted,0.014561071060597897,26
1040,ia,pct_self_other_weighted,0.0140764145180583,27
1034,ia,pct_self_nausea_vomiting_weighted,0.014014511369168758,28
1044,ia,pct_self_cough_weighted,0.013860263861715794,29
1039,ia,pct_hh_difficulty_breathing_weighted,0.013601834885776043,30
1022,ia,pct_autoimmune_disorder_weighted,0.01295657828450203,31
1028,ia,pct_self_persistent_pain_pressure_in_chest_weighted,0.011618713848292828,32
1029,ia,pct_chronic_lung_disease_weighted,0.010824899189174175,33
1032,ia,pct_self_multiple_symptoms_weighted,0.01019857358187437,34
1031,ia,pct_self_nasal_congestion_weighted,0.008831189014017582,35
875,id,pct_cmnty_cli_weighted,0.5596283674240112,1
884,id,pct_self_sore_throat_weighted,0.10595985502004623,2
885,id,pct_avoid_contact_all_or_most_time_weighted,0.0797763392329216,3
883,id,pct_self_runny_nose_weighted,0.025706565007567406,4
895,id,pct_multiple_medical_conditions_weighted,0.0256052166223526,5
909,id,pct_kidney_disease_weighted,0.016782261431217194,6
891,id,pct_self_nasal_congestion_weighted,0.016702372580766678,7
901,id,pct_worked_outside_home_weighted,0.01306916680186987,8
897,id,pct_self_tiredness_or_exhaustion_weighted,0.01224216166883707,9
903,id,pct_hh_cough_weighted,0.01146248821169138,10
878,id,pct_hh_cli_weighted,0.010534812696278095,11
898,id,pct_diabetes_weighted,0.010144767351448536,12
876,id,pct_self_anosmia_ageusia_weighted,0.009917720220983028,13
